year;savings;invest
1871;0,0635;0
1872;0,0781;0,113168724
1873;0,0835;-0,023483366
1874;0,0686;0,045064378
1875;0,0496;0,04845815
1876;0,0533;-0,1367713
1877;0,0503;-0,030985915
1878;0,049;0,156923077
1879;0,0425;0,483240223
1880;0,051;0,26223092
1881;0,0479;0,008077544
1882;0,0526;0,035472973
1883;0,0535;-0,051635112
1884;0,0565;-0,121621622
1885;0,0422;0,283018868
1886;0,0426;0,115384615
1887;0,0611;-0,003584229
1888;0,0502;0,030131827
1889;0,0468;0,06870229
1890;0,0541;-0,059479554
1891;0,0597;0,183884298
1892;0,0393;0,061705989
1893;0,0852;-0,185383244
1894;0,0332;0,032407407
1895;0,0309;0,049411765
1896;0,0576;0,030444965
1897;0,0344;0,199052133
1898;0,0355;0,286885246
1899;0,0336;0,037828947
1900;0,0464;0,208196721
1901;0,043;0,193776521
1902;0,0472;0,082512315
1903;0,055;-0,169030733
1904;0,0434;0,308383234
1905;0,0417;0,209964413
1906;0,0547;0,009118541
1907;0,0623;-0,237447699
1908;0,0532;0,381021898
1909;0,0365;0,161147903
1910;0,0526;-0,033730159
1911;0,04;0,034519957
1912;0,0435;0,072368421
1913;0,0565;-0,048387097
1914;0,0464;-0,056152927
1915;0,0365;0,304812834
1916;0,0364;0,085744909
1917;0,0425;-0,174503657
1918;0,0598;0,167822469
1919;0,0556;0,192356688
1920;0,073;-0,137032843
1921;0,0744;0,091420534
1922;0,0458;0,289041096
1923;0,0496;0,051685393
1924;0,0434;0,260475651
1925;0,0387;0,252362949
1926;0,0428;0,113833992
1927;0,0426;0,365671642
1928;0,0464;0,466628637
1929;0,0601;-0,08769107
1930;0,0415;-0,218793183
1931;0,0243;-0,429286608
1932;0,0336;-0,085542169
1933;0,0146;0,548660085
1934;0,0101;-0,078747628
1935;0,0075;0,536717063
1936;0,0075;0,330668605
1937;0,0088;-0,311540648
1938;0,0088;0,150309461
1939;0,0056;0,0336
1940;0,0056;-0,087804878
1941;0,0053;-0,086255924
1942;0,0063;0,195968645
1943;0,0069;0,234886026
1944;0,0072;0,192405063
1945;0,0075;0,384729429
1946;0,0076;-0,116537181
1947;0,0101;0,030243261
1948;0,0135;0,09844909
1949;0,0158;0,173177083
1950;0,0132;0,343601896
1951;0,0212;0,206977841
1952;0,0239;0,140553948
1953;0,0258;0,027883881
1954;0,018;0,458758837
1955;0,0181;0,286235955
1956;0,0321;0,068403171
1957;0,0386;-0,055469954
1958;0,0254;0,395184825
1959;0,0374;0,076231571
1960;0,0428;0,062726176
1961;0,0291;0,19038848
1962;0,0339;-0,027218764
1963;0,035;0,210113741
1964;0,0409;0,159189012
1965;0,0446;0,11518811
1966;0,0544;-0,064294899
1967;0,0555;0,159976317
1968;0,0617;0,105955387
1969;0,0805;-0,083986672
1970;0,0911;0,069981176
1971;0,0566;0,137768745
1972;0,0462;0,176863504
1973;0,0793;-0,159854754
1974;0,1103;-0,207574654
1975;0,0724;0,385611907
1976;0,057;0,113565972
1977;0,0528;-0,085637222
1978;0,0778;0,16099723
1979;0,1088;0,168588908
1980;0,1137;0,254893118
1981;0,1763;-0,06813567
1982;0,146;0,288710778
1983;0,0937;0,202467595
1984;0,1111;0,076627201
1985;0,0835;0,259192355
1986;0,0731;0,310293482
